serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
fKuASomCxPUz,238.8252,1601676015176,5.668798,-159,94129,55.13599,617.1189,85,1856.281,I1t2t86ZQoGIAv1i30r9,0,3,22.11985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1601468131186,0.5,171,96762,43.78288,387.0218,100,500,I1t2t86ZQoGIAv1i30r9,699,0,26.01985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25.66664,1602404424738,0.507928,152,97294,54.54848,341.1472,48,504.163,I1t2t86ZQoGIAv1i30r9,186,2,23.01985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,54.74592,1599305715168,0.757911,103,97083,45.53238,359.3173,97,610.0677,fFrU8brLxN5Wea7PQwJg,1730,3,26.06485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,105.0996,1600445101549,1.393267,112,97273,38.55331,342.954,97,927.9365,fFrU8brLxN5Wea7PQwJg,2512,3,31.05985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,35.57289,1598577915925,0.536155,-35,96265,47.83041,430.0628,97,518.4742,UefkqbOojs07AR21i0ix,0,1,24.89985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,48.96139,1600814714018,0.690247,-178,96345,47.75792,423.1221,93,585.3219,I1t2t86ZQoGIAv1i30r9,52,3,24.21485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,31.30453,1599167107595,0.591112,104,97745,44.83288,302.4161,97,544.2956,fFrU8brLxN5Wea7PQwJg,40,3,24.31485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,188.9778,1601537415273,22.21993,174,96039,52.48197,449.694,100,2759.942,I1t2t86ZQoGIAv1i30r9,674,3,22.69485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,219.8161,1598793613643,121.168,77,96468,57.17348,412.4611,97,3882.024,fFrU8brLxN5Wea7PQwJg,4,3,23.57485,ztx11HwFoJPuDJd1p7lLilvvkjg2
