iter	RMSE
0	3.232305865
1	3.222534425
2	3.21379764
3	3.20491007
4	3.196624561
5	3.188146554
6	3.180024561
7	3.17145824
8	3.162990279
9	3.154843034
10	3.146608802
11	3.138256803
12	3.130175077
13	3.121589982
14	3.11369555
15	3.105943719
16	3.098589512
17	3.091108349
18	3.08379173
19	3.07667566
20	3.069790559
21	3.062967256
22	3.056012349
23	3.049493053
24	3.043704331
25	3.037510115
26	3.03057095
27	3.023963443
28	3.017356961
29	3.011141501
30	3.005026087
31	2.999971977
32	2.993899707
33	2.988001926
34	2.982012366
35	2.976443948
36	2.970844866
37	2.965738584
38	2.960152456
39	2.955295343
40	2.94991853
41	2.944628611
42	2.939461387
43	2.934466323
44	2.928965953
45	2.924469843
46	2.919348119
47	2.914279499
48	2.909673598
49	2.905254823
50	2.900035767
51	2.895773561
52	2.891450908
53	2.887332836
54	2.882765948
55	2.878493335
56	2.874988628
57	2.871034285
58	2.86701158
59	2.863051427
60	2.85937127
61	2.855619837
62	2.851795786
63	2.847882925
64	2.843913317
65	2.840148512
66	2.836762494
67	2.832882727
68	2.829618975
69	2.825520143
70	2.822030354
71	2.819012454
72	2.815785414
73	2.812364941
74	2.809256714
75	2.805987208
76	2.802842244
77	2.79903844
78	2.795959623
79	2.792472726
80	2.789220938
81	2.786333771
82	2.78330971
83	2.78067216
84	2.778277576
85	2.775533984
86	2.773144415
87	2.770108549
88	2.767253051
89	2.764950321
90	2.762117186
91	2.759334348
92	2.756526759
93	2.753453807
94	2.750601077
95	2.748152146
96	2.745691067
97	2.743462958
98	2.740683711
99	2.737996031
100	2.735828895
101	2.73334793
102	2.731133481
103	2.728380065
104	2.72618971
105	2.724042986
106	2.721660402
107	2.719322261
108	2.717163767
109	2.714935357
110	2.712775882
111	2.710585095
112	2.708570316
113	2.706223338
114	2.70443919
115	2.7028125
116	2.700899954
117	2.698818434
118	2.696654128
119	2.694612391
120	2.69283868
121	2.691055488
122	2.689039675
123	2.686825904
124	2.685143845
125	2.683378519
126	2.681604722
127	2.679678346
128	2.677710335
129	2.676113681
130	2.674385662
131	2.672778419
132	2.671063868
133	2.669183236
134	2.667655181
135	2.666019309
136	2.664414367
137	2.6626375
138	2.660803034
139	2.658708101
140	2.65676442
141	2.654837438
142	2.653262943
143	2.651653881
144	2.650114064
145	2.648464268
146	2.64729782
147	2.645315371
148	2.64405231
149	2.642762438
150	2.641169365
151	2.639302875
152	2.637162691
153	2.635720048
154	2.634333186
155	2.633318104
156	2.631361361
157	2.630014023
158	2.628514678
159	2.626967985
160	2.625254764
161	2.624148168
162	2.622675448
163	2.621851906
164	2.620511652
165	2.618981697
166	2.617612521
167	2.616137995
168	2.614430838
169	2.613498187
170	2.611999033
171	2.610601206
172	2.609186951
173	2.607613999
174	2.606151591
175	2.604901326
176	2.603471743
177	2.602057641
178	2.600300186
179	2.598683936
180	2.597392265
181	2.596246663
182	2.594479402
183	2.593215138
184	2.591853597
185	2.590606495
186	2.589824015
187	2.588847715
188	2.587568392
189	2.585999114
190	2.584909792
191	2.583318949
192	2.582558817
193	2.581102164
194	2.579778157
195	2.57878408
196	2.577954885
197	2.576159206
198	2.574735503
199	2.573676703
200	2.572420316
201	2.571228589
202	2.570215572
203	2.569062366
204	2.568141394
205	2.566997044
206	2.565789976
207	2.564929695
208	2.563988705
209	2.56296721
210	2.561808189
211	2.560527342
212	2.559355422
213	2.557804466
214	2.556647607
215	2.555849388
216	2.554629645
217	2.553733868
218	2.552686989
219	2.551430988
220	2.550420619
221	2.549685969
222	2.548905007
223	2.54784746
224	2.546805134
225	2.545610835
226	2.544428687
227	2.543570872
228	2.542135878
229	2.541066677
230	2.539771264
231	2.53837584
232	2.53746775
233	2.536722221
234	2.535203725
235	2.534439475
236	2.533734002
237	2.533128807
238	2.532512735
239	2.53187652
240	2.531112329
241	2.530170955
242	2.529393763
243	2.528595855
244	2.527865242
245	2.526784618
246	2.525867785
247	2.525074696
248	2.52399962
249	2.522974644
250	2.521940332
251	2.52107078
252	2.520249383
253	2.519249591
254	2.518427793
255	2.517160441
256	2.515976962
257	2.514441741
258	2.513861848
259	2.512863978
260	2.511738992
261	2.510922961
262	2.509780768
263	2.508620088
264	2.508065815
265	2.507101838
266	2.506267818
267	2.505519615
268	2.504344465
269	2.503742112
270	2.50304282
271	2.502316036
272	2.501474639
273	2.500776524
274	2.49980102
275	2.499249696
276	2.498664986
277	2.497880855
278	2.496810511
279	2.495726407
280	2.494876731
281	2.494132533
282	2.493183411
283	2.492480835
284	2.492006301
285	2.491157389
286	2.49056842
287	2.489904912
288	2.488892575
289	2.488212167
290	2.487309889
291	2.486572388
292	2.485824545
293	2.48492698
294	2.484492273
295	2.483721746
296	2.483159152
297	2.481743608
298	2.480783938
299	2.480005073
300	2.479346545
301	2.478256704
302	2.47786029
303	2.476924952
304	2.476173103
305	2.475301289
306	2.474558934
307	2.473586544
308	2.472622281
309	2.471716118
310	2.471246528
311	2.470768182
312	2.469768558
