iter	Passed	Remaining
0	6	63536
1	10	53906
2	12	41479
3	14	35422
4	16	32104
5	17	29690
6	22	31421
7	30	38637
8	32	36608
9	35	34989
10	37	33668
11	39	32571
12	41	31567
13	43	30751
14	45	30110
15	47	29761
16	49	29217
17	51	28712
18	53	28268
19	55	27871
20	57	27491
21	59	27209
22	62	26930
23	64	26661
24	66	26387
25	68	26171
26	70	25941
27	72	25716
28	74	25510
29	76	25355
30	78	25179
31	80	25040
32	82	24906
33	84	24785
34	86	24665
35	88	24516
36	91	24669
37	93	24556
38	95	24454
39	97	24356
40	99	24255
41	101	24170
42	104	24119
43	106	24026
44	108	23949
45	110	23886
46	112	23817
47	114	23751
48	116	23674
49	119	23817
50	121	23766
51	123	23714
52	126	23814
53	129	23762
54	131	23701
55	133	23772
56	135	23721
57	138	23670
58	140	23721
59	142	23665
60	144	23615
61	147	23616
62	150	23786
63	154	23975
64	156	23931
65	158	23887
66	162	24097
67	164	24045
68	166	23991
69	170	24158
70	172	24131
71	174	24104
72	177	24179
73	179	24126
74	183	24305
75	186	24307
76	190	24592
77	193	24557
78	195	24501
79	198	24648
80	200	24585
81	204	24724
82	206	24678
83	208	24617
84	211	24726
85	214	24673
86	215	24611
87	219	24727
88	221	24688
89	223	24633
90	226	24652
91	228	24598
92	231	24611
93	233	24602
94	235	24551
95	239	24678
96	241	24634
97	243	24577
98	247	24713
99	249	24669
100	251	24642
101	254	24729
102	257	24727
103	260	24789
104	262	24743
105	264	24700
106	269	24885
107	271	24838
108	273	24831
109	276	24834
110	278	24794
111	282	24909
112	284	24873
113	287	24897
114	300	25834
115	302	25784
116	305	25825
117	308	25807
118	312	25968
119	318	26248
120	320	26200
121	323	26161
122	325	26164
123	328	26186
124	331	26155
125	334	26212
126	336	26172
127	339	26193
128	342	26185
129	344	26142
130	348	26243
131	350	26199
132	352	26142
133	356	26227
134	371	27120
135	374	27182
136	378	27280
137	381	27262
138	384	27281
139	386	27247
140	391	27349
141	393	27344
142	398	27440
143	400	27396
144	402	27340
145	406	27403
146	408	27399
147	412	27455
148	415	27450
149	418	27513
150	421	27480
151	423	27444
152	427	27508
153	430	27494
154	433	27553
155	436	27525
156	438	27472
157	441	27525
158	444	27483
159	448	27566
160	450	27548
161	454	27620
162	457	27579
163	459	27549
164	463	27614
165	465	27566
166	467	27539
167	470	27562
168	473	27520
169	477	27587
170	479	27550
171	481	27514
172	484	27544
173	487	27505
174	490	27551
175	492	27514
176	496	27546
177	498	27500
178	500	27460
179	504	27516
180	506	27472
181	508	27440
182	511	27464
183	514	27424
184	517	27465
185	519	27429
186	530	27820
187	540	28197
188	542	28155
189	544	28112
190	548	28148
191	556	28416
192	558	28373
193	562	28409
194	564	28367
195	566	28328
196	569	28340
197	571	28292
198	573	28247
199	577	28318
200	579	28273
201	582	28233
202	584	28189
203	586	28143
204	588	28097
205	591	28100
206	593	28064
207	595	28020
208	597	28005
209	599	27963
210	601	27923
211	604	27893
212	606	27854
213	608	27821
214	611	27832
215	613	27795
216	615	27758
217	618	27744
218	620	27720
219	623	27700
220	625	27667
221	627	27627
222	629	27591
223	631	27566
224	634	27551
225	636	27527
226	638	27492
227	657	28181
228	660	28190
229	662	28153
230	664	28113
231	669	28190
232	675	28303
233	677	28276
234	680	28267
235	682	28254
236	685	28218
237	691	28349
238	692	28288
239	693	28218
240	695	28153
241	697	28138
242	700	28119
243	702	28084
244	704	28037
245	705	27976
246	706	27913
247	708	27843
248	709	27775
249	711	27742
250	713	27718
251	714	27654
252	716	27588
253	718	27550
254	719	27487
255	720	27425
256	721	27366
257	723	27301
258	724	27248
259	725	27184
260	726	27124
261	729	27111
262	730	27062
263	732	27019
264	734	26970
265	736	26950
266	737	26897
267	739	26847
268	740	26794
269	742	26763
270	745	26746
271	747	26718
272	749	26689
273	751	26662
274	753	26643
275	755	26611
276	757	26583
277	759	26561
278	761	26536
279	764	26531
280	766	26494
281	775	26717
282	777	26702
283	780	26708
284	783	26704
285	785	26681
286	789	26702
287	791	26703
288	797	26803
289	799	26777
290	801	26748
291	804	26746
292	806	26703
293	807	26651
294	808	26607
295	810	26566
296	811	26520
297	813	26481
298	815	26456
299	818	26462
300	820	26441
301	823	26456
302	826	26437
303	828	26411
304	832	26460
305	834	26436
306	836	26410
307	839	26402
308	841	26383
309	843	26377
310	846	26375
311	848	26357
312	852	26382
313	854	26359
314	856	26337
315	860	26355
316	862	26334
317	864	26314
318	866	26292
319	868	26275
320	870	26255
321	874	26280
322	876	26261
323	879	26266
324	881	26243
325	883	26217
326	886	26219
327	888	26212
328	891	26191
329	909	26649
330	915	26748
331	918	26738
332	920	26723
333	922	26709
334	924	26668
335	925	26620
336	926	26569
337	927	26518
338	928	26470
339	930	26435
340	931	26387
341	932	26338
342	934	26313
343	937	26304
344	938	26278
345	940	26251
346	942	26223
347	946	26240
348	947	26214
349	949	26188
350	951	26169
351	953	26143
352	955	26123
353	958	26109
354	962	26148
355	965	26154
356	967	26135
357	968	26092
358	971	26094
359	973	26054
360	974	26009
361	975	25969
362	977	25942
363	978	25908
364	980	25873
365	981	25833
366	982	25792
367	983	25749
368	984	25704
369	986	25681
370	988	25656
371	989	25615
372	990	25571
373	991	25530
374	993	25488
375	994	25447
376	995	25406
377	996	25362
378	997	25320
379	998	25283
380	1000	25266
381	1002	25232
382	1003	25192
383	1004	25155
384	1005	25121
385	1007	25082
386	1008	25040
387	1009	24999
388	1010	24960
389	1011	24918
390	1012	24888
391	1013	24853
392	1015	24812
393	1016	24772
394	1017	24734
395	1018	24694
396	1019	24661
397	1020	24625
398	1021	24584
399	1022	24544
400	1023	24508
401	1024	24468
402	1025	24431
403	1027	24394
404	1028	24355
405	1029	24316
406	1030	24279
407	1031	24241
408	1032	24203
409	1033	24172
410	1034	24142
411	1042	24263
412	1044	24256
413	1047	24256
414	1049	24246
415	1052	24239
416	1054	24240
417	1058	24253
418	1060	24243
419	1062	24239
420	1065	24235
421	1067	24232
422	1070	24228
423	1072	24224
424	1074	24217
425	1077	24211
426	1079	24204
427	1081	24196
428	1085	24212
429	1088	24215
430	1090	24213
431	1096	24276
432	1112	24569
433	1114	24571
434	1116	24557
435	1118	24539
436	1120	24521
437	1123	24516
438	1124	24499
439	1131	24588
440	1138	24673
441	1140	24653
442	1141	24633
443	1146	24665
444	1147	24646
445	1149	24631
446	1152	24635
447	1154	24619
448	1156	24604
449	1167	24770
450	1168	24739
451	1169	24711
452	1170	24678
453	1172	24654
454	1174	24629
455	1175	24600
456	1176	24568
457	1177	24535
458	1179	24516
459	1181	24511
460	1184	24506
461	1185	24472
462	1187	24457
463	1189	24438
464	1190	24406
465	1191	24374
466	1192	24347
467	1193	24318
468	1195	24287
469	1196	24257
470	1197	24226
471	1199	24216
472	1202	24212
473	1203	24196
474	1218	24425
475	1222	24463
476	1224	24450
477	1226	24437
478	1230	24458
479	1232	24434
480	1253	24811
481	1264	24960
482	1268	24994
483	1270	24982
484	1278	25073
485	1284	25148
486	1286	25138
487	1291	25166
488	1293	25152
489	1297	25185
490	1299	25170
491	1301	25157
492	1305	25174
493	1307	25167
494	1310	25155
495	1313	25159
496	1315	25149
497	1318	25161
498	1321	25165
499	1324	25160
500	1326	25147
501	1328	25131
502	1330	25117
503	1333	25122
504	1335	25106
505	1339	25124
506	1342	25146
507	1345	25147
508	1347	25131
509	1349	25117
510	1352	25121
511	1354	25105
512	1356	25090
513	1375	25385
514	1381	25438
515	1393	25617
516	1396	25612
517	1400	25634
518	1402	25621
519	1404	25613
520	1407	25602
521	1412	25654
522	1415	25641
523	1417	25636
524	1420	25629
525	1421	25606
526	1423	25596
527	1425	25566
528	1427	25549
529	1428	25520
530	1430	25505
531	1431	25475
532	1432	25445
533	1434	25423
534	1435	25393
535	1436	25361
536	1437	25329
537	1438	25299
538	1439	25273
539	1441	25253
540	1442	25224
541	1443	25194
542	1444	25162
543	1445	25132
544	1447	25108
545	1448	25077
546	1449	25048
547	1450	25017
548	1451	24989
549	1452	24959
550	1454	24938
551	1455	24910
552	1456	24882
553	1457	24852
554	1458	24824
555	1459	24794
556	1461	24776
557	1462	24748
558	1464	24734
559	1466	24726
560	1469	24728
561	1471	24713
562	1473	24698
563	1477	24721
564	1479	24705
565	1482	24703
566	1484	24692
567	1486	24677
568	1487	24662
569	1491	24673
570	1493	24655
571	1495	24641
572	1496	24620
573	1498	24605
574	1499	24578
575	1501	24562
576	1502	24535
577	1503	24508
578	1504	24480
579	1505	24454
580	1506	24428
581	1508	24412
582	1511	24421
583	1513	24396
584	1514	24369
585	1515	24346
586	1517	24336
587	1519	24319
588	1520	24293
589	1521	24266
590	1523	24248
591	1524	24221
592	1525	24200
593	1527	24191
594	1529	24170
595	1530	24150
596	1531	24126
597	1532	24098
598	1533	24072
599	1534	24046
600	1536	24023
601	1537	24005
602	1538	23980
603	1539	23956
604	1542	23947
605	1549	24021
606	1562	24178
607	1566	24197
608	1569	24207
609	1572	24207
610	1574	24200
611	1579	24236
612	1582	24238
613	1584	24215
614	1585	24189
615	1586	24163
616	1587	24148
617	1592	24177
618	1593	24153
619	1594	24127
620	1596	24107
621	1597	24085
622	1598	24061
623	1599	24035
624	1600	24010
625	1601	23986
626	1605	23996
627	1606	23973
628	1607	23949
629	1608	23923
630	1609	23903
631	1611	23882
632	1612	23858
633	1613	23833
634	1614	23808
635	1615	23784
636	1616	23761
637	1619	23760
638	1620	23737
639	1621	23714
640	1622	23689
641	1623	23664
642	1624	23646
643	1626	23624
644	1627	23602
645	1628	23577
646	1629	23554
647	1630	23529
648	1631	23512
649	1633	23490
650	1634	23466
651	1634	23441
652	1636	23419
653	1637	23394
654	1638	23377
655	1639	23355
656	1640	23333
657	1641	23309
658	1643	23299
659	1647	23307
660	1649	23301
661	1651	23291
662	1654	23296
663	1656	23286
664	1658	23276
665	1660	23274
666	1662	23267
667	1664	23257
668	1666	23247
669	1668	23239
670	1671	23233
671	1672	23219
672	1675	23214
673	1676	23200
674	1678	23194
675	1680	23174
676	1682	23163
677	1683	23144
678	1684	23121
679	1685	23098
680	1686	23078
681	1687	23055
682	1688	23038
683	1690	23018
684	1691	23006
685	1692	22984
686	1694	22968
687	1696	22959
688	1697	22939
689	1698	22917
690	1699	22896
691	1700	22876
692	1701	22854
693	1703	22842
694	1704	22823
695	1705	22803
696	1707	22796
697	1709	22779
698	1710	22762
699	1711	22743
700	1712	22721
701	1713	22700
702	1715	22680
703	1716	22659
