name,min_env_humid,max_env_humid,min_light_lux,max_light_lux,min_temp,max_temp
Acanthocereus tetragonus 'Fairy Castles',15,80,3000,100000,5,35
Adi violet wax,30,80,3000,50000,5,32
Aechmea chantinii 'Samuri',30,85,800,27000,10,37
Aechmea fulgens,30,85,800,27000,10,37
Aeonium arboreum,15,80,3000,80000,5,35
Aeonium arboreum 'Atropureum',15,80,2800,80000,6,35
Aeonium decorum f. variegata,15,80,3800,85000,6,35
Aeonium sedifolium,15,80,3200,80000,5,35
Aeonium urbicum,15,80,3000,80000,5,35
Agastache foeniculum,30,80,4000,60000,5,35
Agastache Hybrids 'Sandstone',30,80,4000,60000,5,35
Agastache Hybrids 'Sun',30,80,4000,60000,5,35
Agastache Hybrids 'Sunset',30,80,4000,60000,5,35
Agastache mexicana,30,80,4000,60000,5,35
Agastache rugosa,30,80,4000,60000,5,35
Agastache rupestris,30,80,4000,60000,5,35
Agastache x,30,80,4000,60000,5,35
Agave americana,15,80,3500,75000,7,35
Agave americana var.marginata,15,80,3500,75000,7,35
Agave americana var.marginata alba,15,80,3500,75000,7,35
Agave attenuata,15,80,3500,75000,7,35
Agave macroacantha,15,80,3500,75000,7,35
Agave stricta,15,80,3500,75000,7,35
Agave univittata,15,80,3500,75000,7,35
Aglaonema commutatum 'Pseudobracteatum',30,85,2000,25000,12,32
Aglaonema commutatum cv.Silver Queen,30,85,2000,25000,12,32
Aglaonema nitidum,30,85,1500,25000,12,32
Aglaonema sp,30,85,2000,25000,12,32
Ajania pacifica,15,80,3000,55000,8,32
Alcea 'Apricot',30,80,2500,30000,10,32
Alcea 'Carmine Roset',30,80,2500,30000,10,32
Alcea 'Crimson',30,80,2500,30000,10,32
Alcea 'Formula Mixture',30,80,2500,30000,10,32
Alcea 'Lemon',30,80,2500,30000,10,32
Alcea 'Lilac',30,80,2500,30000,10,32
Alcea 'Pink',30,80,2500,30000,10,32
Alcea 'Purple',30,80,2500,30000,10,32
Alcea 'Rose',30,80,2500,30000,10,32
Alcea 'White',30,80,2500,30000,10,32
Alcea rosea,30,80,2500,30000,10,32
Alocasia macrorrhizos,30,85,1000,22500,10,32
Aloe arborescens,15,80,3000,70000,8,35
Aloe aristata,15,80,3000,70000,8,35
Aloe brevifolia,15,80,3000,70000,8,35
Aloe broomii,15,80,3000,70000,8,35
Aloe dichotoma,15,80,3000,70000,8,35
Aloe erinacea,15,80,1500,36000,8,35
Aloe ferox,15,80,3000,70000,8,35
Aloe L.,15,80,1500,35000,8,35
Aloe maculata,15,80,3000,70000,8,35
Aloe marlothii,15,80,3000,70000,8,35
Aloe nobilis,15,80,1500,36000,8,35
Aloe polyphylla,15,80,3000,70000,8,35
Aloe squarrosa,15,80,3000,70000,8,35
Aloe striata,15,80,3000,70000,8,35
Aloe vera,15,80,3000,70000,8,35
Alternanthera ficoidea,30,85,3600,50000,10,32
Amygdalus persica,30,80,2500,60000,5,35
Anacampseros rufescens f. variegata,15,80,3500,65000,5,35
Ananas comosus cv. Variegata,30,85,800,27000,10,37
Anemone hupehensis var. japonica,30,80,2000,50000,8,32
Anisodontea capensis,30,80,2300,55000,5,35
Anthurium andraeanum,30,85,1500,35000,15,32
Anthurium andraeanum 'Alabama pink',30,85,1500,35000,15,32
Anthurium andraeanum 'Alabama',30,85,1500,35000,15,32
Anthurium andraeanum 'Almera',30,85,1500,35000,15,32
Anthurium andraeanum 'Amis',30,85,1500,35000,15,32
Anthurium andraeanum 'Aramon',30,85,1500,35000,15,32
Anthurium andraeanum 'Arion',30,85,1500,35000,15,32
Anthurium andraeanum 'Aristo',30,85,1500,35000,15,32
Anthurium andraeanum 'Bambino red',30,85,1500,35000,15,32
Anthurium andraeanum 'Beliza',30,85,1500,35000,15,32
Anthurium andraeanum 'Bianco',30,85,1500,35000,15,32
Anthurium andraeanum 'California',30,85,1500,35000,15,32
Anthurium andraeanum 'Cavalli',30,85,1500,35000,15,32
Anthurium andraeanum 'Cherry champion',30,85,1500,35000,15,32
Anthurium andraeanum 'Cirano',30,85,1500,35000,15,32
Anthurium andraeanum 'Colorado',30,85,1500,35000,15,32
Anthurium andraeanum 'Edison',30,85,1500,35000,15,32
Anthurium andraeanum 'Elido',30,85,1500,35000,15,32
Anthurium andraeanum 'Eternity',30,85,1500,35000,15,32
Anthurium andraeanum 'Felicita',30,85,1500,35000,15,32
Anthurium andraeanum 'Fiesta',30,85,1500,35000,15,32
Anthurium andraeanum 'Fiorino',30,85,1500,35000,15,32
Anthurium andraeanum 'Joli peach',30,85,1500,35000,15,32
Anthurium andraeanum 'Joli',30,85,1500,35000,15,32
Anthurium andraeanum 'Leganza',30,85,1500,35000,15,32
Anthurium andraeanum 'Madural orange',30,85,1500,35000,15,32
Anthurium andraeanum 'Madural',30,85,1500,35000,15,32
Anthurium andraeanum 'Missouri',30,85,1500,35000,15,32
Anthurium andraeanum 'Mont blanc',30,85,1500,35000,15,32
Anthurium andraeanum 'Montana',30,85,1500,35000,15,32
Anthurium andraeanum 'Namora',30,85,1500,35000,15,32
Anthurium andraeanum 'Oklahoma',30,85,1500,35000,15,32
Anthurium andraeanum 'Orange champion',30,85,1500,35000,15,32
Anthurium andraeanum 'Otazu',30,85,1500,35000,15,32
Anthurium andraeanum 'Pandola',30,85,1500,35000,15,32
